,job_id,job_title,company_size,company_industry,country,remote_type,experience_levels,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
0,1,AI Engineer,Startup,Retail,Canada,Remote,3,2,Master,0,0,0,1,0,158322.0,6,2024,Low,4
1,2,Machine Learning Engineer,MNC,Technology,Australia,Hybrid,2,0,Bachelor,1,1,1,0,1,163666.0,11,2026,High,9
2,3,Machine Learning Engineer,MNC,Technology,Germany,Onsite,2,14,Master,1,0,1,0,1,158556.0,3,2026,High,9
3,4,Business Analyst,Startup,Healthcare,Germany,Remote,2,9,Master,0,1,0,1,1,95775.0,3,2025,High,7
4,5,Data Scientist,MNC,Healthcare,Germany,Hybrid,2,5,Master,1,1,1,0,0,111873.0,12,2021,Low,2
5,6,Machine Learning Engineer,Medium,Technology,Australia,Onsite,3,6,Master,1,0,1,1,0,165878.0,5,2021,High,2
6,7,Data Scientist,MNC,Technology,Germany,Remote,1,14,Bachelor,0,0,0,0,0,67027.0,8,2026,High,8
7,8,Data Analyst,Enterprise,Finance,UK,Onsite,1,4,PhD,1,0,1,0,1,78392.0,8,2023,High,7
8,9,Machine Learning Engineer,Startup,Education,Canada,Onsite,2,2,PhD,0,0,0,0,1,123840.0,5,2021,Low,3
9,10,Data Engineer,Enterprise,Retail,USA,Onsite,3,9,Master,1,0,0,0,1,112408.0,4,2024,High,7
10,11,AI Engineer,Medium,E-commerce,Singapore,Onsite,1,10,PhD,0,1,0,1,0,103157.0,12,2021,Medium,3
11,12,Machine Learning Engineer,Startup,Education,USA,Remote,2,13,Master,0,1,1,0,1,142392.0,1,2020,High,9
12,13,Data Analyst,Medium,Finance,Germany,Remote,1,6,PhD,1,1,0,0,1,55663.0,11,2025,Low,5
13,14,Data Scientist,MNC,Finance,Australia,Remote,2,6,Master,1,0,0,0,0,90698.0,1,2021,High,8
14,15,Machine Learning Engineer,MNC,Education,Singapore,Remote,1,2,Bachelor,1,1,0,1,1,135535.0,7,2023,Low,6
15,16,Data Analyst,MNC,Retail,USA,Onsite,2,3,Bachelor,1,1,1,0,0,114339.0,11,2025,Low,1
16,17,Business Analyst,Enterprise,Technology,Germany,Onsite,3,2,Master,0,0,1,1,0,133680.0,1,2026,High,4
17,18,Machine Learning Engineer,MNC,Finance,UK,Remote,1,6,Master,0,1,1,0,0,122049.0,1,2025,High,9
18,19,AI Engineer,Startup,E-commerce,UK,Onsite,1,2,Bachelor,0,1,1,0,1,116197.0,8,2020,High,8
19,20,AI Engineer,Enterprise,Finance,Germany,Hybrid,2,13,PhD,0,0,0,0,1,122869.0,3,2024,Medium,2
20,21,Data Scientist,MNC,Finance,Germany,Remote,2,3,Bachelor,1,1,1,0,0,109735.0,1,2023,Low,1
21,22,Data Analyst,Enterprise,Education,Singapore,Hybrid,2,5,Master,1,0,0,1,1,99893.0,1,2023,Low,2
22,23,Data Scientist,Startup,Technology,Canada,Onsite,3,0,Bachelor,1,1,1,0,1,121060.0,8,2024,Low,5
23,24,Data Scientist,Medium,E-commerce,Singapore,Onsite,1,12,PhD,0,1,0,0,1,63319.0,2,2020,Medium,3
24,25,Machine Learning Engineer,Enterprise,Education,India,Onsite,2,14,Master,1,0,1,0,0,125784.0,8,2020,Medium,2
25,26,Data Scientist,Enterprise,Education,Singapore,Remote,2,9,PhD,0,1,0,1,0,92992.0,4,2024,High,7
26,27,AI Engineer,Startup,Education,Australia,Onsite,3,11,PhD,1,1,1,0,0,154146.0,9,2021,Medium,6
27,28,Data Engineer,Startup,Education,India,Hybrid,2,3,Bachelor,1,1,0,1,0,88124.0,12,2023,Low,5
28,29,AI Engineer,Startup,Technology,Australia,Remote,2,2,PhD,0,1,1,1,0,140635.0,10,2025,High,2
29,30,Data Analyst,Startup,Retail,Germany,Hybrid,3,4,Master,1,0,1,0,0,111931.0,5,2020,High,9
30,31,Machine Learning Engineer,Medium,Finance,Singapore,Hybrid,2,8,Master,1,0,0,0,1,129662.0,5,2025,High,7
31,32,Business Analyst,Enterprise,Retail,Germany,Hybrid,3,5,Bachelor,0,0,1,1,0,127141.0,4,2024,High,1
